Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
contigs	369	79	33	30	26	22	5403327	5331230	5202939	5183802	5133691	4975501	105	698474	5350156	50.59	335515	79998	319603.4	6	20	0.00
scaffolds	327	54	16	13	10	10	5437160	5365719	5258076	5238939	5200270	5200270	90	2815616	5391554	50.57	2815616	180369	1633387.0	1	7	627.52
scaffolds_broken	119	79	33	30	26	22	5354477	5331494	5203203	5184066	5133955	4975765	119	698474	5354477	50.58	335515	79998	319372.3	6	20	0.11
