baseMean	log2FoldChange	lfcSE	pvalue	padj
gene-YIR012W	1540.67110767396	5.27751149549659	0.405212877821926	6.94419109790688e-40	1.40392387610441e-37
gene-YHR196W	1195.40244666612	5.1022528150853	0.39677090093263	5.51524299918646e-39	1.07786232347434e-36
gene-YBL028C	857.792146833934	5.32262752654824	0.415256030533198	1.02635336324076e-38	1.94113218344534e-36
gene-YOL041C	1901.79826014032	5.62776577177246	0.440732508811101	1.88662883206892e-38	3.45665776325627e-36
gene-YOL080C	385.348684148902	6.190584964634	0.486537664067044	3.25800984955244e-38	5.7883974993715e-36
gene-YDL063C	1078.71878743181	5.50042040285386	0.43347246224714	5.40517861607426e-38	9.32075359589512e-36
gene-YML018C	803.000292137192	5.77223558404962	0.459303057591663	1.74355661279679e-37	2.92070640595073e-35
gene-YPL212C	1386.88737706812	5.15828356625493	0.409686127712147	1.83270654441608e-37	2.98476624164208e-35
gene-YJR063W	779.770193504674	5.21272405176263	0.41674170079002	5.32883669702726e-37	8.44404582558671e-35
gene-YOL151W	10610.4544641162	5.90584211775029	0.474845174643478	1.097586387987e-36	1.69346026125468e-34
gene-YLR264C-A	403.292132922716	6.31697728065113	0.513608334657639	4.82542620632679e-36	7.25422406351128e-34
gene-YDR037W	4855.05508167896	5.15346955507514	0.41915269226077	6.60549936514282e-36	9.68201069445808e-34
gene-YNR060W	1990.69640263403	6.35383182703703	0.520339768103629	1.45403026637297e-35	2.07926328091334e-33
gene-YKR097W	21663.7092112708	-4.64978955453761	0.380345522142851	1.6606735526589e-35	2.31822119981884e-33
gene-YDR449C	839.309202728779	5.11719248531401	0.418900953452845	2.06742564389595e-35	2.81891082561906e-33
gene-YLR224W	721.210245186904	5.04449234201945	0.412689752319172	2.28197474925519e-35	3.04073135338254e-33
gene-YBL039C	2049.07301876276	6.11346123789115	0.502557098548298	3.73741405004219e-35	4.84898136496855e-33
gene-YNL182C	623.682413327466	5.45979273117253	0.448750034277731	3.80441996910376e-35	4.84898136496855e-33
gene-YMR093W	864.083903648939	5.10510607072597	0.423959695857594	1.0555079462872e-34	1.31669001895359e-32
gene-YJL069C	728.545105297254	5.10820971045479	0.424270073682261	1.44767660400155e-34	1.76827665192939e-32
gene-YBR105C	2419.80376541364	4.85347815075342	0.407682363369718	8.16975358001336e-34	9.77536025298333e-32
gene-YER049W	1371.56445766439	5.14939995070258	0.440465750556835	1.0801764942425e-32	1.26661495714876e-30
gene-YNL248C	1314.79563442383	5.21911736923391	0.446587852792015	1.16055250450754e-32	1.33418026155446e-30
gene-YGR128C	840.790013996799	4.83895202329472	0.414311262014755	1.2533274905675e-32	1.41312674561485e-30
gene-YNL075W	802.513544320816	4.89043983824584	0.422369394374036	3.64352219626156e-32	4.03056049748708e-30
gene-YKL078W	495.217582148364	5.99550477635178	0.520444138563052	1.06293520077594e-31	1.15407205224988e-29
gene-YJL025W	239.268181899431	6.21782898432451	0.540649718575386	1.3871758291018e-31	1.47872943382252e-29
gene-YPL068C	280.874001521543	6.21460908614857	0.545999228283411	3.02202042969305e-31	3.16394746058756e-29
