gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YER062C,16754.6010760815,7.89889269259926,0.396477860103527,19.9226577003234,2.58878971172336e-88,1.5178074079833998e-84
YDR536W,10087.5863662729,7.87461051160557,0.400268079853892,19.6733412129191,3.64923550001348e-86,1.0697733868289499e-82
YHR094C,8548.05185689083,7.88431766524498,0.426016054126639,18.5070904931232,1.81017573764242e-76,3.53768678326584e-73
YNL065W,2113.46297828043,7.78844430507469,0.461838334591504,16.8640056957671,8.2783459347088e-64,1.21339855537994e-60
YLR264W,1388.81661671084,6.48436143262653,0.421959997794631,15.3672420763034,2.71481908361444e-53,3.18339685744629e-50
YJL122W,1290.94594030445,6.51151571531778,0.424378274326346,15.3436594407527,3.90543955254356e-53,3.8162653494271497e-50
YKL120W,1727.94971303061,7.25247503644466,0.480272664437511,15.1007450006314,1.60114060284361e-51,1.3410696220674399e-48
YGR159C,8022.20413669937,6.76524299006414,0.449812359107042,15.0401447472327,4.00673026273774e-51,2.93643244130392e-48
YNL112W,5330.9086232397,7.3649378959872,0.497070457307991,14.8166880322638,1.1428185361060698e-49,7.4448278635443105e-47
YOR271C,1052.34529973381,6.84446008421846,0.467870115594176,14.6289747006523,1.83532064782656e-48,1.07604849582071e-45
YJL108C,957.519594922253,5.98649744513997,0.415493014443964,14.4081783255765,4.59675363105072e-47,2.45006968535003e-44
YOR360C,1923.50201593862,5.65286844675558,0.394134460982786,14.3424871620208,1.18723145963873e-46,5.80061503988488e-44
YJL107C,846.814029080806,6.17444571189624,0.433575535593406,14.2407613092046,5.11665854844813e-46,2.3076130053501097e-43
YOL136C,1162.77031779565,5.71055450850563,0.404005195078766,14.1348541505568,2.31613352933561e-45,9.69963634463905e-43
YOL124C,593.85575370554,7.80382281163416,0.560083300051343,13.9333252945031,3.97413097850176e-44,1.55335532846372e-41
YBR299W,15030.8363470326,-5.59173717934859,0.401532102839435,-13.9260027773785,4.4031786476261903e-44,1.61348977568952e-41
YER127W,730.766830217819,5.98062802279323,0.43106368696347,13.8741169893535,9.09056773515279e-44,3.13517639007063e-41
YCR072C,700.716828105992,5.89443741005592,0.428489174536097,13.7563274881741,4.66636050188736e-43,1.5199373123647599e-40
YML043C,521.376404794986,6.41225834096218,0.474883313941229,13.5028082746149,1.5052706030511998e-41,4.64494818194168e-39
YEL026W,2043.03690480672,5.37148554883343,0.397996607715223,13.496309879799,1.64406919334168e-41,4.81958884028114e-39
YGR079W,1513.81580166454,5.32826181444934,0.396759001279206,13.4294667474973,4.06326840977087e-41,1.13442584221365e-38
YMR300C,1596.6286245894,5.80803959288983,0.433557185740114,13.3962480242948,6.35979096877007e-41,1.69488429317722e-38
YNL141W,2899.2044640866,6.47270849990999,0.484086685799814,13.370969889857,8.93678935519888e-41,2.24981503745027e-38
YHR066W,1306.62014776715,5.59180384591616,0.418274759939865,13.3687336207427,9.209544755041199e-41,2.24981503745027e-38
YLR327C,14488.6195516924,-5.02622153773731,0.378181519228603,-13.2905001492129,2.6281558766244197e-40,6.16355116185959e-38
YOR359W,478.15800313794,6.35767572619805,0.479585337267736,13.2566098922428,4.13154582013333e-40,9.31663582440065e-38
YJL148W,1278.92098601793,5.22799666290352,0.394555948980125,13.2503303433067,4.49221544898538e-40,9.75476265829677e-38
YLR180W,1932.23389817551,6.75961039631813,0.510940219478616,13.2297480969807,5.90850620807846e-40,1.23719899635586e-37
YIR012W,1540.67110767396,5.33346434912089,0.40351222472002,13.2176028937452,6.9441910979068794e-40,1.40392387610441e-37
YHR196W,1195.40244666612,5.15788848893762,0.394913973209443,13.060790042499,5.51524299918646e-39,1.0778623234743399e-36
YBL028C,857.792146833934,5.3813399736578,0.413522155445034,13.0134260106726,1.02635336324076e-38,1.9411321834453398e-36
YOL041C,1901.79826014032,5.69027025694761,0.43883265424511,12.9668341722111,1.88662883206892e-38,3.45665776325627e-36
YOL080C,385.348684148902,6.26143221239043,0.484447964381425,12.9248808391329,3.25800984955244e-38,5.7883974993715e-36
YDL063C,1078.71878743181,5.56277474477876,0.431695198893733,12.8858851315326,5.40517861607426e-38,9.320753595895119e-36
YML018C,803.000292137192,5.83927201106491,0.456363511878601,12.7952210443552,1.74355661279679e-37,2.9207064059507303e-35
YPL212C,1386.88737706812,5.2169193318413,0.407847548542648,12.7913465472155,1.83270654441608e-37,2.98476624164208e-35
YJR063W,779.770193504674,5.27299342329154,0.414930458470432,12.7081377509125,5.32883669702726e-37,8.44404582558671e-35
YOL151W,10610.4544641162,5.97568840045815,0.472330416784547,12.6515002805419,1.097586387987e-36,1.69346026125468e-34
YLR264C-A,403.292132922716,6.39441987763773,0.510139856637757,12.5346408331673,4.82542620632679e-36,7.25422406351128e-34
YDR037W,4855.05508167896,5.21614173003072,0.416967038007693,12.5097220033361,6.60549936514282e-36,9.682010694458079e-34
YNR060W,1990.69640263403,6.4322856288679,0.516778579295876,12.4468890286282,1.4540302663729701e-35,2.07926328091334e-33
YKR097W,21663.7092112708,-4.70829225005922,0.37859341619705,-12.4362760909943,1.6606735526589e-35,2.31822119981884e-33
YDR449C,839.309202728779,5.17896198278526,0.417027322884074,12.4187593919953,2.06742564389595e-35,2.81891082561906e-33
YLR224W,721.210245186904,5.09679380608128,0.41067219331866,12.4108568561554,2.2819747492551902e-35,3.04073135338254e-33
YBL039C,2049.07301876276,6.18857172881389,0.500236327646977,12.3712960990335,3.73741405004219e-35,4.84898136496855e-33
YNL182C,623.682413327466,5.526830287913,0.446797807410442,12.3698688674089,3.8044199691037604e-35,4.84898136496855e-33
YMR093W,864.083903648939,5.17694192812258,0.421313176069056,12.2876335756327,1.0555079462872e-34,1.31669001895359e-32
YJL069C,728.545105297254,5.17168457039731,0.421763025678926,12.262062474709,1.4476766040015498e-34,1.7682766519293901e-32
YBR105C,2419.80376541364,4.91437083430586,0.405440746386622,12.1210580784093,8.169753580013359e-34,9.77536025298333e-32
YER049W,1371.56445766439,5.21742189839838,0.438158279499753,11.9076191013785,1.0801764942425e-32,1.2666149571487599e-30
YNL248C,1314.79563442383,5.28795602111683,0.444305123522881,11.9016318767355,1.16055250450754e-32,1.33418026155446e-30
YGR128C,840.790013996799,4.90232246899237,0.41212565437774,11.8952130664962,1.2533274905675e-32,1.41312674561485e-30
YNL075W,802.513544320816,4.95575787398125,0.41977350281179,11.8057901244024,3.64352219626156e-32,4.0305604974870795e-30
YKL078W,495.217582148364,6.07854872081735,0.518851327229353,11.7153959175099,1.06293520077594e-31,1.15407205224988e-29
YJL025W,239.268181899431,6.30503991669699,0.539223612141176,11.6928112470087,1.3871758291018e-31,1.47872943382252e-29
YPL068C,280.874001521543,6.30363376798416,0.542177641367412,11.6265099978781,3.02202042969305e-31,3.16394746058756e-29
YOR004W,599.702928753117,4.8717589334378,0.420834404390324,11.576427408533,5.42605447875973e-31,5.58122059806461e-29
YLR413W,655.91594064111,5.39485511795122,0.46643436154761,11.5661614209796,6.1158112786452995e-31,6.18224164253404e-29
YGL035C,650.837438836196,5.33361477339441,0.463954851928839,11.4959780056627,1.38206725011993e-30,1.3734000487208798e-28
YNL110C,1237.25716158041,4.64679699727341,0.404358897500951,11.4917639403804,1.45118083312123e-30,1.41804553743163e-28
YKR092C,2187.747655844,5.46915651537495,0.476852811178881,11.4692760263991,1.8822740995590498e-30,1.80914312224831e-28
YDR343C,1333.10414685529,-4.71926600814963,0.411724023926285,-11.462207046229,2.04242792988377e-30,1.93141208917879e-28
YPL081W,1683.79482533225,4.75858430426093,0.415256989888065,11.4593719555296,2.11039552364971e-30,1.96400777066004e-28
YIL053W,34462.2115070574,5.21670326007104,0.456014314140436,11.4397796260064,2.6455666182543e-30,2.4235870441914e-28
YPR137W,907.570326072495,4.61422899103155,0.40422953783053,11.414873380594,3.5241681653712e-30,3.1787996851648197e-28
YNR053C,1314.88026335716,4.53462274727667,0.397526116353762,11.4071065037681,3.8533494409366296e-30,3.4230587533653698e-28
YGL120C,1322.69283801383,5.14548501527413,0.451284096457882,11.4018753500531,4.09207958003335e-30,3.5808750116023197e-28
YKR081C,1340.06999649677,4.54278276640747,0.399491830287125,11.3714034230499,5.8046683431874795e-30,5.00481919060415e-28
YHR052W,1667.55393370127,4.50712079791258,0.396773499710688,11.3594300052776,6.65776035572359e-30,5.6571665167547e-28
YKL029C,5056.27860410583,5.54610918751989,0.488590918527727,11.3512326512986,7.312446703961919e-30,6.12469643218982e-28
YMR081C,2820.19892225285,-4.78765299674423,0.421919856080112,-11.3473042990306,7.648448404722259e-30,6.315894788293889e-28
YNL113W,1031.15086679928,4.6027587132667,0.405786023858797,11.3428221837141,8.050561533600049e-30,6.55561698215237e-28
YLR435W,394.380139835472,5.34600729815506,0.471706536618162,11.3333330856141,8.97241039377634e-30,7.206197553248039e-28
YHR085W,377.956921767237,5.56582558207147,0.492916045585185,11.291629947781,1.44334917838022e-29,1.14356165308693e-27
